product_id,review_text,manual_annotation,review_date,review_rating,product_title,vader_sentiment,roberta_sentiment,textblob_sentiment
950973,I loved it perfect for dusky skin,positive,7/22/2021 15:11,5,Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
422905,I liked it. Moisturize lips but i dont like its smell initially. Now i am habitual with its smell. Its in stick form so that i liked it most. Nice purchase,positive,8/10/2020 21:05,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,Very light to apply..n very nourishing..,positive,12/2/2020 18:04,5,Nykaa Serial Kisser Lip Balm - Raspberry,neutral,positive,positive
422905,I love this lip balm.It moisturizes my lips well and also smells really good.,positive,8/7/2020 14:53,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,"Wowww!! Amazing smell and also keeps your lips look fresh all day. And and and, easy to apply ofcourse and affordable too. I AM GONNA REPURCHASE SOON",positive,7/26/2020 22:57,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,It's a low budget lip balm but totally worth the try. Awesome...not sticky and stays on the lips hydrating them for a long time :),positive,7/26/2020 9:47,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,"Amazing odour, keeps lips moisturizing. Good one and cost effective.... don't go for peach",positive,7/23/2020 11:43,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,Moisturising lip balm good for dry lips,positive,7/22/2020 10:47,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,"Very nice and hydrating , great one",positive,7/20/2020 22:04,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,"This product moisturises lips really well, also has a great scent. Best lip balm I’ve used so far.",positive,7/17/2020 13:40,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,This lipbalm is like a blessing for dry chapped lips. You can apply this at night as lip sleeping mask and the next morning you will have soft and smooth lips. I bought the Raspberry variant and its yum. In this price this is the best formula that I have tried till now. For all the dry chapped lips girls you should go for it.,positive,7/11/2020 21:50,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,Gives your skin shine and makes lips softer,positive,7/3/2020 17:59,5,Nykaa Serial Kisser Lip Balm - Raspberry,neutral,positive,neutral
422905,This is my third buy ? same promogranate and literally love it.. guys give it a try handy and helps u to nourish ur chapped and dry lips ?,positive,7/30/2020 15:25,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,Moisturizes really well and smell is very good,positive,12/3/2020 1:38,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,I just love the balm it's so much Hrydarate for my lips??,positive,12/4/2020 15:20,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,it is nice fruity lip balm with no tint,positive,12/4/2020 16:48,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,the lip balm is good and gives yours lips a good soft texture also has a good fragrance,positive,8/12/2020 19:43,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,Hydrates well. I love this product. Thank you Nykaa. ??,positive,8/21/2020 13:22,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
422905,Such a soft lip balm. Glides like butter and hydrates your lips perfectly. The stay power is less but that's okay,positive,8/25/2020 16:14,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
569411,"Its nice, pigmented, soft, light weight, non-sticky but ladies is not metallic. Shimmer is not at all its looks like normal matte lip shade. If looking for metallic shade then better go with NYX collection.",positive,3/2/2020 15:20,3,Nykaa Matte to Last! Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
569411,"I've a wheatish skin tone and firework is just beyond perfect for my skin tone.the applicator is awesome, the consistency is not thick, glides on smoothly, gives a great finish. It isn't too shiny if you get clicked but gives a shimmery look. Hands down the best metallic lipstick I've owned. The only con is that it isn't smudge proof or kiss proof. Nykaa needs to work on that. It comes off if you eat anything or tie a stole around your face. Otherwise, it's a win-win situation if you can invest in it.",positive,2/13/2020 1:41,3,Nykaa Matte to Last! Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
950973,Totally satisfied with the purchase. Very beautiful color.But the size of the bottle is very small. Very tiny just like a small finger.,positive,12/24/2020 23:21,3,Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
950973,"Great for party look, nice product 👍",positive,10/7/2021 21:26,3,Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
950973,Its good nice pigmented i loved it but its too mini means its too small,positive,12/23/2020 13:21,3,Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
950973,This product is good in terms of the Color but it’s not highly pigmented! Not recommend for heavy make-ups but will definitely work for a subtle nice eye makeup,positive,12/24/2020 13:10,3,Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
569411,"Lovely metallic liquid. Generally I don't like metallic ones, but these are awesome nd non-transferable. Just loves it. Will buy others from the collection ??",positive,6/3/2020 19:53,5,Nykaa Matte to Last! Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
513103,"Beautiful beautiful brown shade, just go for it",positive,10/26/2020 16:57,5,Masaba By Nykaa Lipstick,positive,positive,positive
513103,I wanted nude shade lipstick which I could just glide over my lips whenever I go out or just stay at home and it came perfect as expected. It’s smooth plus it gives matte look which is win win situation for me.,positive,9/13/2021 16:54,5,Masaba By Nykaa Lipstick,positive,positive,positive
422905,It is the best non tinted lip balm I've ever used. It is not at all greasy but moisturizes my lips well. I'll definitely repurchase.,positive,9/28/2019 10:40,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
787778,Love this lipstick..beautiful shade ❤,positive,3/27/2021 16:09,5,Nykaa Matte to Last! Mini Liquid Lipstick - Jhumki 14,positive,positive,positive
1124796,"If you're looking for a rich matte red,go for it It's application is smooth,looks rich.Loved it",positive,1/1/2021 15:48,5,Nykaa Paintstix! Waterproof Matte Lipstick - Flower Power,positive,positive,positive
1124808,Wonderful shade,positive,11/24/2021 18:10,5,Nykaa Paintstix! Waterproof Matte Lipstick - Polka Dots,positive,positive,positive
787778,Cute and nice colour ☺️,positive,11/26/2021 17:35,5,Nykaa Matte to Last! Mini Liquid Lipstick - Jhumki 14,positive,positive,positive
950973,Love the color......not for lips but it looks awesome on eyes.,positive,2/7/2021 0:31,5,Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow,positive,positive,positive
787778,Loved the shade . Its aperfect pink nude with a hint of brown,positive,10/4/2021 15:55,5,Nykaa Matte to Last! Mini Liquid Lipstick - Jhumki 14,positive,positive,positive
422905,Moisturising 😁 Smell is sweet.,positive,4/7/2022 15:22,5,Nykaa Serial Kisser Lip Balm - Raspberry,positive,positive,positive
513103,One of the best shade of masaba wanna gives you a natural look after applying best product ever,positive,1/21/2022 18:08,5,Masaba By Nykaa Lipstick,positive,positive,positive
