product_id,review_text,review_date,review_rating,product_title,Dominant_Topic_Label,vader_sentiment,roberta_sentiment,textblob_sentiment
573572,"Long-lasting, doesn't smudge",2020-03-24 09:43:00,5.0,Kay Beauty Matte Action Lip Liner,Texture,neutral,neutral,neutral
573181,"I love the smell, consistency, hydrating texture and the fact that it’s long lasting.",2021-03-18 01:48:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Amazing shade and glides extremely smooth,2021-02-08 16:35:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Shade is beautiful and is matte! Go for the product worth the cost! :),2021-02-10 10:28:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,It's a very beautiful brown shade which looks super good on me.. and it's matte and smudge proof and blah blah blah.. (good stuffs) but I notice one thing that it looks so beautiful with a lip gloss or if you apply a lip balm underneath but doing so it doesn't last that long but I love itt...,2021-02-15 16:44:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,It's very beautiful pink shade but not look that good on me mixing it with other colours definitely do the job but let's talk abou the faux pas shade which I got for free. I don't like that shade at first but then BOOM... it's a perfect nude shade if you've lighter and pinkish skin tone,2021-02-15 16:49:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,I know iam always late to post my reviews...But its better late than never.. Ok so this shade RomCom stole my heart.. Its that more pink and lil orange shade... It uplifts my face whenever i wear this color... I just wear it on my bare face n iam good to go... ❤.. Best part is it will suit all kinda skintones.. And its very light on lips... The formula is completely different from other matte crayons... Its like a liquid lipstick in the crayon form 😍.. Its a long stay lipstick. Washes off from between the lips if u eat.. But u can happily reapply it on ur lips without making ur lips look odd or cracked up.. Its a fab shade ❤,2021-02-18 15:02:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,"Smooth texture, perfect matte, lovely shade, overall loved it..😍",2021-02-23 11:09:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Even on slightly pigmented lips the color remains same,2021-02-27 20:24:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,neutral,neutral,negative
573181,A perfect nude for fair skin tone,2021-03-01 21:22:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,This is my first lipstick I have ever tried and it's simply amazing. I highly recommend it!,2021-03-06 13:08:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,positive,positive,positive
573181,Kay beauty never failed. I am a fan of kay beauty matinee lipsticks and nail paints.,2021-03-06 16:53:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,The quality is good the feel is good and the staying power is also very nice 4-5 hrs and you can combine with other colours to get even more staying power loved the product,2021-03-16 18:00:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,positive,positive,positive
573181,I applied it and it feels Creamy and matt so soft ..... didn't feel like wearing something on my lips i am so impressed with KAY i will buy more... thankyou nykaa,2021-03-17 23:15:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,It’s stays for more then 6 hours and doesn’t dry your lip out. It’s also covers lip lines for people who have chapped lips.,2021-03-18 01:46:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,neutral,neutral,positive
573181,This is the perfect bright pink shade I always wanted!,2021-03-19 19:14:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,"Easy Application, stays long, matte look.",2020-11-30 18:20:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Best one used till date Matte enough Long lasting for sure The colour Is damn gorgeous Go for it girls worth the money,2021-03-24 07:08:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,positive,positive,positive
573181,Rom com is best for fair to medium skin tone . Go for it guys it gives smooth matt finish without leaving your lips dry.,2021-03-26 07:06:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,"Smooth texture not so heavy fill on lips,clr r so perity it's suits for every skin tone..",2021-04-05 20:06:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,neutral,positive,positive
573181,It settles very good...and stays long with matte finish...the crayon is very easy application..,2021-04-07 14:37:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Kay lipsticks has been hands down the best matte lipsticks I have ever used. I wasnt a fan of matte lipsticks but Kay changed my opinion... The texture is smooth. It stays for longer hours. And looks and feel good ..Pricing wise ita decent and you can get some or the other offer going on so its totally worth every penny :),2021-04-09 01:00:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Very nice texture and stay.. very lightweight..,2021-04-12 19:48:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,The texture nd the finish was perfect ppl must go fr this one . This is smudge free Matt lipstick best range in crayon.,2021-04-18 13:33:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Beautiful pink shade.. Will suit every skintone and its so lightweight.,2020-09-26 17:37:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,Such a lovely colour. Have a no make up make up look and out this lip crayon. Just awesome.,2020-09-25 11:14:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,This shade is perfect pink nude for dusky skin tone????????,2020-05-13 11:35:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,Best shade and lip crayon I have ever used. so lightweight and absolutely matte,2020-05-13 12:19:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,positive,positive,positive
573181,Im in love with this shade. I had my eye on it from a post i seen on the site. Its creamy and looks so good. Must have shade from this collection.,2020-05-14 19:45:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,I really like the shade of ROM COM?I m happy with the product quality ?,2020-05-15 18:26:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Loved the texture...loking forward to buy more kay beauty products ♥️♥️♥️,2021-02-06 21:41:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Stays matte as well as hydrated. Love the shade also!,2021-02-01 13:28:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Very pretty colour..Very nice texture and stay.. feels lightweight..,2021-04-12 19:49:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Extremely pretty share. The formula is also very good. Highly recommend this product,2021-04-23 17:27:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Love this colour,2020-09-29 19:50:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,This is a beautiful nude shade. Comfortable to wear.,2021-01-25 11:58:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,Kay beauty never disappoint me the shade is perfect for daily use,2021-01-27 20:01:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,Semi matte.. light feel.. gives a great look on any outfit.. must buy,2021-04-29 03:12:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,"I have tried a lot of shades from Kay beauty!! And liked most of them but this shade is my favourite. You can wear this everyday be it for office or college, parties. It just seems natural and bonus point- its moisturising too. I don’t have lipstick stuck in lip cracks at the end of the day.",2021-05-03 14:18:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,Goes really well in the evening. The colour is too bright and pink and will add the glamorous effect to your face.,2021-05-03 14:30:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,just luv the shade best for medium to s duaky skintonw,2021-05-04 15:16:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,positive,positive,positive
573181,Highly pigmented color crayon.. 85% transfer proof,2021-05-05 18:07:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,neutral,positive,positive
573181,I saw this lipstick in a video of an influencer and I immediately thought I need to buy thiss becuz I'm a suckerr for nudee lipstickss😍😍❤❤,2021-05-18 19:18:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,neutral,positive,neutral
573181,Long lasting lip colour range. One stroke application.,2021-06-05 17:47:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,neutral,neutral,neutral
573181,Kay beauty Gossip shade is really nice 💗,2021-06-14 17:54:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,It doesn't feel thick on your lips. So easy to apply and does not feel like you are wearing one. It’s matte shade.,2021-06-22 12:54:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,negative,positive
573181,Fashionista all time favourite ❤️,2021-07-03 07:23:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,neutral,positive,neutral
573181,Awesome 👌 i love this so much...smudged proof ❤love it😘,2021-07-06 11:29:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Glides easy and doesn’t dry up your lip.,2021-07-08 18:43:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,positive,positive,positive
573181,I love the shade and you can mix it with other lipstick colors; if ends up giving such a nice shade. The formula is really good and doesn’t dry up your lips.,2021-07-23 09:34:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,"Love the color, texture, pigmentation. Long lasting, matt but mot too drying on the lips..love it .",2021-07-26 14:49:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Its a damn beautiful colour for all skin types. But price is too high as compared to quantity.its glides on lips very easily.,2021-07-27 09:17:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,This crayon is super creamy matte and glides very easily. Shade is versatile nude. One of my favourite,2021-07-27 15:25:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Shade,positive,positive,positive
573181,Such a lovely peachy nude shade. Good for every day look.☺️❤️,2021-07-30 16:52:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,"Love this brands lip crayon bought 4 of them already. Love the shades, application and stay. Kay Beauty gift me whole set na",2021-07-31 00:12:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,"Not much transferred , its beautiful great product",2021-08-01 21:00:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,"Works as an eyeshadow base , contour stick and lipstick too . Has matt consistency and is not creamy in texture .I suggest wearing a good lip balm before the lipstick :-) Is very long lasting the picture was clicked early in the morning and the makeup was on from the last night !",2021-08-17 09:14:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Loved this shade. A beautiful nude shade. Perfect for me.,2021-08-28 11:52:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,very nice matt lip colour long stay,2021-09-04 15:20:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Product Quality,positive,positive,positive
573181,Product quality is very good.. Shade is nice..overall fully worth it.,2021-04-26 19:01:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
573181,Beautiful peachy nude with yellow in it. Good for brown Indian skin tones,2021-01-26 09:26:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,Very beautiful color !! Looks beautiful on indian wear,2020-05-15 20:53:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,"It’s a beautiful shade with a slight purple tone to it. If you’re in the shade 330 of the Maybelline Fit Me foundation & MAC NC44.5, this will look gorgeous on you!",2020-05-18 15:33:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Skin Tone,positive,positive,positive
573181,Amazing colour with super amazing texture. It glides on lips so smoothly. Super pigmented. Highly recommended.,2020-05-22 20:07:00,5.0,Kay Beauty Matteinee Matte Lip Crayon Lipstick,Texture,positive,positive,positive
